purpose,gender,age,income,household,children,edu,occupation,ncars,scenario,choice,TT1,C1,WT1,TT2,C2,WT2,TT3,C3,WT3,TT4,C4,WT4,TT5,C5,WT5,choice_rainy,id_panel
3,1,4,2,1,2,6,5,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,18
3,2,6,2,3,2,5,2,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,19
1,2,5,1,1,1,5,2,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,20
5,1,2,1,2,0,4,5,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,21
4,2,6,2,3,0,1,3,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,22
3,1,4,3,3,2,2,5,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,23
1,2,2,1,2,0,6,2,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,24
5,2,2,1,3,2,3,1,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,25
4,1,1,2,3,0,3,2,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,26
5,2,5,1,3,2,3,3,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,27
3,1,3,1,1,1,1,5,4,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,28
4,1,2,1,3,0,5,5,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,29
3,1,1,1,1,0,6,2,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,30
1,1,3,3,1,2,6,4,2,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,31
3,1,4,1,1,0,6,2,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,32
3,2,6,1,2,2,6,1,0,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,33
1,1,4,1,2,0,5,4,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,34
2,2,3,1,2,2,3,1,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,35
1,1,2,1,1,0,5,4,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,36
1,2,6,1,2,0,2,5,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,37
2,1,2,2,1,2,5,1,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,38
4,2,5,1,2,1,4,3,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,39
3,1,5,2,1,1,6,5,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,40
2,2,1,2,1,2,4,3,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,41
2,2,4,3,2,0,2,1,3,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,42
2,1,4,1,1,2,3,3,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,43
4,1,1,1,1,1,5,3,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,44
1,1,6,3,3,1,5,4,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,45
5,2,4,1,1,1,4,4,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,46
1,2,2,2,3,1,3,3,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,47
4,1,5,1,1,1,3,4,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,48
2,2,6,3,2,1,2,1,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,49
1,1,2,3,2,2,6,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,50
1,2,5,1,1,1,1,1,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,51
3,2,5,3,3,0,1,4,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,52
1,1,5,3,2,1,3,4,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,53
3,1,5,1,2,0,6,2,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,54
5,1,6,2,2,0,5,2,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,55
1,1,3,2,2,0,1,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,56
2,2,2,2,3,0,3,3,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,57
2,2,5,1,2,0,1,1,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,58
5,1,5,1,1,0,6,4,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,59
2,2,4,2,1,0,4,2,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,60
1,1,3,3,4,2,3,3,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,61
1,1,1,1,1,0,1,6,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,62
2,2,4,3,4,2,2,4,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,63
1,1,1,1,1,0,1,6,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,64
1,1,2,1,3,0,2,2,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,65
1,2,1,1,4,1,1,6,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,66
1,1,2,2,1,0,3,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,67
1,2,2,1,3,0,3,2,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,68
1,2,1,1,3,0,1,2,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,69
1,2,1,1,4,0,1,6,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,70
2,2,1,1,3,0,3,2,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,71
2,2,3,1,3,0,5,2,4,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,72
4,1,3,2,2,0,5,4,4,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,73
5,2,2,1,3,2,5,6,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,74
3,2,6,3,3,2,1,2,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,75
3,2,3,2,1,1,2,1,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,76
2,2,1,3,3,1,2,2,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,77
5,1,6,3,1,1,5,3,4,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,78
4,1,4,3,2,1,5,6,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,79
3,1,3,1,1,1,5,1,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,80
2,2,4,2,3,2,5,6,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,81
1,1,3,2,1,0,4,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,82
1,2,1,1,1,0,1,6,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,83
1,1,1,1,3,0,1,6,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,84
1,1,4,3,4,2,3,3,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,85
4,1,5,2,2,1,1,4,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,86
4,1,1,1,3,1,3,4,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,87
1,1,6,1,3,0,5,3,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,88
3,2,4,1,3,0,5,3,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,89
1,2,5,3,2,0,5,3,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,90
5,1,6,2,2,2,2,5,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,91
2,1,3,1,1,0,1,5,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,92
4,2,6,2,1,1,3,1,3,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,93
3,1,6,2,2,0,1,5,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,94
4,2,6,2,1,1,3,2,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,95
1,1,4,2,4,1,3,3,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,96
4,1,3,1,2,1,1,3,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,97
5,1,3,2,3,2,4,4,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,98
1,2,1,1,1,0,1,6,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,99
3,2,1,3,1,0,6,5,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,100
1,1,1,1,2,0,1,6,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,101
4,2,3,1,1,0,1,5,2,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,102
4,2,4,3,2,1,1,4,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,103
4,2,5,3,3,2,3,6,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,104
1,1,2,1,2,0,3,6,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,105
4,1,2,1,3,0,3,1,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,106
2,1,2,3,1,1,5,2,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,107
1,1,3,2,3,1,3,2,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,108
2,2,6,2,3,1,3,1,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,109
5,1,5,1,1,0,5,1,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,110
3,2,1,2,3,2,6,5,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,111
4,2,1,1,1,2,4,2,2,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,112
1,1,1,1,1,0,1,6,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,113
4,2,1,2,3,0,1,1,4,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,114
3,1,6,1,2,1,5,1,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,115
1,2,2,1,2,0,3,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,116
1,1,1,1,3,0,2,1,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,117
1,1,3,3,1,1,5,6,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,118
1,1,3,2,1,0,3,3,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,119
4,1,2,3,3,0,2,6,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,120
3,2,1,2,1,2,1,5,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,121
1,1,1,1,3,0,1,6,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,122
1,1,6,2,2,1,6,1,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,123
4,2,5,3,1,1,4,3,2,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,124
3,1,2,3,2,1,3,1,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,125
1,1,2,2,2,0,3,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,126
4,2,6,2,3,1,1,1,4,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,127
1,1,2,2,3,1,3,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,128
5,1,3,2,2,1,5,6,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,129
1,2,6,1,3,1,3,4,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,130
1,1,5,2,2,0,6,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,131
4,2,4,1,2,0,1,6,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,132
1,1,5,2,2,0,6,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,133
1,1,2,2,1,0,5,5,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,134
5,1,1,1,1,0,1,6,0,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,135
3,2,3,3,1,0,3,2,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,136
2,1,6,2,1,1,5,2,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,137
1,1,6,2,2,1,5,4,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,138
4,1,4,1,2,1,6,2,4,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,139
1,1,3,3,1,2,2,5,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,140
3,1,2,3,1,1,4,2,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,141
4,2,2,1,1,1,4,6,0,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,142
2,1,2,1,2,1,4,3,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,143
2,2,1,1,3,2,3,2,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,144
2,1,1,1,2,0,4,5,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,145
2,2,1,1,2,1,4,6,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,146
2,1,5,1,3,2,3,4,3,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,147
1,2,5,2,1,2,3,1,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,148
2,2,5,1,1,0,6,2,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,149
4,2,6,3,2,1,6,4,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,150
4,1,5,3,3,2,2,5,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,151
3,1,4,2,3,0,4,1,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,152
4,2,1,3,2,0,1,6,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,153
5,2,5,1,3,0,5,1,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,154
5,2,3,3,2,0,6,3,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,155
2,1,5,2,1,1,5,3,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,156
2,2,6,1,1,0,4,5,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,157
1,1,3,1,3,1,5,6,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,158
3,1,2,1,2,2,4,2,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,159
1,2,6,1,1,1,5,4,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,160
2,1,6,1,2,1,6,4,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,161
1,1,1,2,3,1,2,3,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,162
5,2,5,2,1,1,6,3,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,163
5,2,4,1,3,1,6,6,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,164
1,1,4,3,2,1,5,2,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,165
5,2,3,1,2,2,6,1,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,166
5,1,5,3,1,1,3,5,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,167
1,1,3,2,3,1,3,3,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,168
5,1,2,3,2,2,6,2,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,169
5,1,6,3,2,2,4,2,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,170
5,2,6,1,2,2,4,4,4,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,171
3,1,6,2,1,1,2,5,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,172
4,2,6,2,3,0,5,1,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,173
2,2,3,2,3,2,5,2,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,174
3,1,4,1,2,0,4,4,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,175
5,2,1,1,1,0,6,4,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,176
1,1,3,3,2,0,3,5,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,177
3,2,4,2,1,1,4,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,178
4,2,3,2,3,1,3,4,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,179
1,2,4,3,2,0,6,1,4,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,180
2,2,1,2,3,1,5,3,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,181
2,2,5,3,3,2,5,1,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,182
3,1,5,3,3,0,6,3,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,183
1,1,2,1,3,1,4,3,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,184
4,2,2,1,1,1,2,4,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,185
1,2,2,1,2,0,3,6,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,186
4,2,6,2,1,0,1,1,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,187
4,2,6,1,1,0,6,5,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,188
1,1,5,2,1,2,3,6,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,189
4,1,1,1,1,1,4,4,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,190
3,1,6,1,3,1,4,2,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,191
4,1,2,3,3,0,4,4,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,192
5,1,2,3,1,1,6,1,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,193
5,1,3,1,1,1,4,1,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,194
3,1,2,2,2,1,6,3,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,195
1,2,1,1,2,0,3,1,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,196
5,2,3,3,3,1,3,2,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,197
3,1,6,2,3,1,2,2,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,198
2,1,5,3,1,0,4,4,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,199
5,1,6,1,1,2,2,2,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,200
5,2,5,2,2,1,5,5,2,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,201
5,2,1,2,1,2,1,1,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,202
5,2,5,3,2,2,4,5,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,203
4,1,6,3,3,0,2,1,3,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,204
3,2,1,3,1,0,2,5,4,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,205
2,1,5,2,2,0,3,5,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,206
1,1,3,3,2,1,1,4,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,207
1,2,3,2,3,0,1,6,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,208
5,2,2,1,3,0,3,6,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,209
4,1,5,3,2,0,5,6,3,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,210
3,2,4,3,1,2,3,4,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,211
5,2,6,2,1,0,1,6,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,212
5,1,3,2,1,1,5,2,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,213
3,2,1,2,3,2,6,5,1,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,214
1,1,3,3,3,0,2,4,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,215
4,2,4,2,1,2,3,6,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,216
1,2,1,3,1,0,2,4,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,217
1,1,6,2,3,0,3,1,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,218
1,1,1,3,2,2,6,5,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,219
4,2,6,2,1,1,2,6,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,220
2,2,4,1,3,2,2,5,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,221
4,2,2,1,3,0,4,4,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,222
1,2,6,1,2,1,3,6,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,223
1,1,2,1,1,2,2,3,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,224
3,2,2,1,2,1,2,2,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,225
3,1,3,3,1,2,2,2,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,226
2,2,1,3,3,0,4,1,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,227
3,1,4,1,2,2,5,5,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,228
5,2,1,2,1,1,3,6,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,229
4,1,6,3,2,0,6,4,0,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,230
2,1,1,1,1,0,1,6,2,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,231
2,2,6,1,1,0,3,2,0,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,232
3,1,2,2,1,0,2,3,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,233
4,2,4,2,1,1,1,2,2,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,234
2,1,1,2,3,2,3,1,1,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,235
4,2,5,2,1,0,5,5,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,236
1,1,4,2,2,2,5,2,0,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,237
