COUNT;DATE;MONTH;YEAR;TIME;O(t);V(t);V(t-1)
45;19;5;2000;1:06:00AM;7.48;42;47
46;19;5;2000;1:07:30AM;12.21;59;42
47;19;5;2000;1:09:00AM;12.99;55;59
48;19;5;2000;1:10:30AM;7.48;43;55
49;19;5;2000;1:12:00AM;11.42;57;43
50;19;5;2000;1:13:30AM;23.62;58;57
51;19;5;2000;1:15:00AM;13.39;56;58
52;19;5;2000;1:16:30AM;8.66;45;56
53;19;5;2000;1:18:00AM;9.06;42;45
54;19;5;2000;1:19:30AM;10.24;53;42
55;19;5;2000;1:21:00AM;9.45;47;53
56;19;5;2000;1:22:30AM;7.09;38;47
57;19;5;2000;1:24:00AM;7.87;48;38
58;19;5;2000;1:25:30AM;8.66;46;48
59;19;5;2000;1:27:00AM;7.87;44;46
60;19;5;2000;1:28:30AM;9.45;45;44
61;19;5;2000;1:30:00AM;7.09;39;45
62;19;5;2000;1:31:30AM;8.27;47;39
63;19;5;2000;1:33:00AM;8.27;42;47
64;19;5;2000;1:34:30AM;7.09;37;42
65;19;5;2000;1:36:00AM;9.84;51;37
66;19;5;2000;1:37:30AM;9.45;49;51
67;19;5;2000;1:39:00AM;10.24;44;49
68;19;5;2000;1:40:30AM;8.66;44;44
69;19;5;2000;1:42:00AM;7.48;40;44
70;19;5;2000;1:43:30AM;7.87;46;40
71;19;5;2000;1:45:00AM;11.81;58;46
72;19;5;2000;1:46:30AM;7.09;36;58
73;19;5;2000;1:48:00AM;8.27;50;36
74;19;5;2000;1:49:30AM;7.09;39;50
75;19;5;2000;1:51:00AM;6.69;39;39
76;19;5;2000;1:52:30AM;6.69;34;39
77;19;5;2000;1:54:00AM;7.87;42;34
78;19;5;2000;1:55:30AM;5.51;28;42
79;19;5;2000;1:57:00AM;7.87;43;28
80;19;5;2000;1:58:30AM;5.91;34;43
81;19;5;2000;2:00:00AM;8.27;45;34
82;19;5;2000;2:01:30AM;4.33;25;45
83;19;5;2000;2:03:00AM;5.91;35;25
84;19;5;2000;2:04:30AM;5.91;33;35
85;19;5;2000;2:06:00AM;7.87;44;33
86;19;5;2000;2:07:30AM;4.33;24;44
87;19;5;2000;2:09:00AM;7.48;41;24
88;19;5;2000;2:10:30AM;8.27;43;41
89;19;5;2000;2:12:00AM;6.69;41;43
90;19;5;2000;2:13:30AM;9.06;47;41
91;19;5;2000;2:15:00AM;6.69;33;47
92;19;5;2000;2:16:30AM;9.45;50;33
93;19;5;2000;2:18:00AM;5.51;27;50
94;19;5;2000;2:19:30AM;6.3;38;27
95;19;5;2000;2:21:00AM;6.69;33;38
96;19;5;2000;2:22:30AM;7.09;41;33
97;19;5;2000;2:24:00AM;4.33;25;41
98;19;5;2000;2:25:30AM;7.87;41;25
99;19;5;2000;2:27:00AM;5.91;30;41
100;19;5;2000;2:28:30AM;6.69;39;30
101;19;5;2000;2:30:00AM;4.72;28;39
102;19;5;2000;2:31:30AM;6.3;33;28
103;19;5;2000;2:33:00AM;5.12;29;33
104;19;5;2000;2:34:30AM;3.94;23;29
105;19;5;2000;2:36:00AM;4.72;28;23
106;19;5;2000;2:37:30AM;4.33;28;28
107;19;5;2000;2:39:00AM;3.94;20;28
108;19;5;2000;2:40:30AM;5.12;31;20
109;19;5;2000;2:42:00AM;5.12;32;31
110;19;5;2000;2:43:30AM;5.91;37;32
111;19;5;2000;2:45:00AM;5.12;36;37
112;19;5;2000;2:46:30AM;4.33;26;36
113;19;5;2000;2:48:00AM;3.94;27;26
114;19;5;2000;2:49:30AM;2.76;17;27
115;19;5;2000;2:51:00AM;5.12;29;17
116;19;5;2000;2:52:30AM;5.12;30;29
117;19;5;2000;2:54:00AM;3.94;25;30
118;19;5;2000;2:55:30AM;3.94;23;25
119;19;5;2000;2:57:00AM;3.54;25;23
120;19;5;2000;2:58:30AM;3.94;26;25
121;19;5;2000;3:00:00AM;5.12;33;26
122;19;5;2000;3:01:30AM;3.94;26;33
123;19;5;2000;3:03:00AM;3.15;23;26
124;19;5;2000;3:04:30AM;2.36;18;23
125;19;5;2000;3:06:00AM;5.51;34;18
126;19;5;2000;3:07:30AM;3.54;22;34
127;19;5;2000;3:09:00AM;6.3;39;22
128;19;5;2000;3:10:30AM;3.15;20;39
129;19;5;2000;3:12:00AM;5.91;31;20
130;19;5;2000;3:13:30AM;1.57;11;31
131;19;5;2000;3:15:00AM;2.76;21;11
132;19;5;2000;3:16:30AM;3.54;23;21
133;19;5;2000;3:18:00AM;3.94;25;23
134;19;5;2000;3:19:30AM;2.36;16;25
135;19;5;2000;3:21:00AM;4.33;27;16
136;19;5;2000;3:22:30AM;2.76;19;27
137;19;5;2000;3:24:00AM;4.72;31;19
138;19;5;2000;3:25:30AM;3.15;17;31
139;19;5;2000;3:27:00AM;5.51;30;17
140;19;5;2000;3:28:30AM;1.97;14;30
141;19;5;2000;3:30:00AM;3.94;31;14
142;19;5;2000;3:31:30AM;2.36;15;31
143;19;5;2000;3:33:00AM;4.72;26;15
144;19;5;2000;3:34:30AM;1.97;12;26
145;19;5;2000;3:36:00AM;5.12;29;12
146;19;5;2000;3:37:30AM;2.76;19;29
147;19;5;2000;3:39:00AM;4.72;31;19
148;19;5;2000;3:40:30AM;2.76;11;31
149;19;5;2000;3:42:00AM;4.33;29;11
150;19;5;2000;3:43:30AM;3.15;21;29
151;19;5;2000;3:45:00AM;2.36;18;21
152;19;5;2000;3:46:30AM;2.76;19;18
153;19;5;2000;3:48:00AM;4.72;21;19
154;19;5;2000;3:49:30AM;1.57;12;21
155;19;5;2000;3:51:00AM;3.15;21;12
156;19;5;2000;3:52:30AM;3.94;22;21
157;19;5;2000;3:54:00AM;4.33;24;22
158;19;5;2000;3:55:30AM;2.76;17;24
159;19;5;2000;3:57:00AM;3.15;19;17
160;19;5;2000;3:58:30AM;5.51;13;19
161;19;5;2000;4:00:00AM;3.54;24;13
162;19;5;2000;4:01:30AM;1.97;17;24
163;19;5;2000;4:03:00AM;4.33;28;17
164;19;5;2000;4:04:30AM;2.36;18;28
165;19;5;2000;4:06:00AM;2.76;17;18
166;19;5;2000;4:07:30AM;3.15;17;17
167;19;5;2000;4:09:00AM;3.94;24;17
168;19;5;2000;4:10:30AM;2.76;19;24
169;19;5;2000;4:12:00AM;2.36;18;19
170;19;5;2000;4:13:30AM;3.54;21;18
171;19;5;2000;4:15:00AM;2.36;17;21
172;19;5;2000;4:16:30AM;1.97;13;17
173;19;5;2000;4:18:00AM;6.69;36;13
174;19;5;2000;4:19:30AM;4.72;24;36
175;19;5;2000;4:21:00AM;3.15;20;24
176;19;5;2000;4:22:30AM;3.54;22;20
177;19;5;2000;4:24:00AM;2.76;16;22
178;19;5;2000;4:25:30AM;1.97;13;16
179;19;5;2000;4:27:00AM;2.36;16;13
180;19;5;2000;4:28:30AM;2.36;15;16
181;19;5;2000;4:30:00AM;3.15;20;15
182;19;5;2000;4:31:30AM;3.54;23;20
183;19;5;2000;4:33:00AM;5.12;25;23
184;19;5;2000;4:34:30AM;4.33;24;25
185;19;5;2000;4:36:00AM;1.57;12;24
186;19;5;2000;4:37:30AM;4.33;24;12
187;19;5;2000;4:39:00AM;3.94;21;24
188;19;5;2000;4:40:30AM;2.76;18;21
189;19;5;2000;4:42:00AM;2.76;14;18
190;19;5;2000;4:43:30AM;3.15;21;14
191;19;5;2000;4:45:00AM;3.54;22;21
192;19;5;2000;4:46:30AM;2.36;15;22
193;19;5;2000;4:48:00AM;5.51;19;15
194;19;5;2000;4:49:30AM;4.72;22;19
195;19;5;2000;4:51:00AM;3.15;19;22
196;19;5;2000;4:52:30AM;5.51;32;19
197;19;5;2000;4:54:00AM;1.18;7;32
198;19;5;2000;4:55:30AM;2.76;16;7
199;19;5;2000;4:57:00AM;2.76;15;16
200;19;5;2000;4:58:30AM;4.72;24;15
201;19;5;2000;5:00:00AM;3.94;24;24
202;19;5;2000;5:01:30AM;2.36;15;24
203;19;5;2000;5:03:00AM;5.12;22;15
204;19;5;2000;5:04:30AM;3.54;25;22
205;19;5;2000;5:06:00AM;4.33;25;25
206;19;5;2000;5:07:30AM;8.66;48;25
207;19;5;2000;5:09:00AM;4.72;27;48
208;19;5;2000;5:10:30AM;5.12;29;27
209;19;5;2000;5:12:00AM;2.76;17;29
210;19;5;2000;5:13:30AM;4.33;25;17
211;19;5;2000;5:15:00AM;3.54;20;25
212;19;5;2000;5:16:30AM;5.12;30;20
213;19;5;2000;5:18:00AM;2.76;16;30
214;19;5;2000;5:19:30AM;7.87;35;16
215;19;5;2000;5:21:00AM;5.12;24;35
216;19;5;2000;5:22:30AM;5.12;24;24
217;19;5;2000;5:24:00AM;7.87;34;24
218;19;5;2000;5:25:30AM;8.66;42;34
219;19;5;2000;5:27:00AM;4.72;24;42
220;19;5;2000;5:28:30AM;5.51;31;24
221;19;5;2000;5:30:00AM;6.3;22;31
222;19;5;2000;5:31:30AM;6.69;30;22
223;19;5;2000;5:33:00AM;7.09;33;30
224;19;5;2000;5:34:30AM;7.48;35;33
225;19;5;2000;5:36:00AM;16.14;23;35
226;19;5;2000;5:37:30AM;9.06;46;23
227;19;5;2000;5:39:00AM;7.09;32;46
228;19;5;2000;5:40:30AM;12.6;53;32
229;19;5;2000;5:42:00AM;8.27;34;53
230;19;5;2000;5:43:30AM;14.57;40;34
231;19;5;2000;5:45:00AM;3.15;16;40
232;19;5;2000;5:46:30AM;10.24;43;16
233;19;5;2000;5:48:00AM;5.91;20;43
234;19;5;2000;5:49:30AM;12.6;63;20
235;19;5;2000;5:51:00AM;4.33;27;63
236;19;5;2000;5:52:30AM;27.56;56;27
237;19;5;2000;5:54:00AM;7.87;32;56
238;19;5;2000;5:55:30AM;15.36;67;32
239;19;5;2000;5:57:00AM;8.27;38;67
240;19;5;2000;5:58:30AM;14.17;66;38
241;19;5;2000;6:00:00AM;37.01;28;66
242;19;5;2000;6:01:30AM;10.24;45;28
243;19;5;2000;6:03:00AM;6.69;34;45
244;19;5;2000;6:04:30AM;16.93;35;34
245;19;5;2000;6:06:00AM;15.36;56;35
246;19;5;2000;6:07:30AM;22.44;54;56
247;19;5;2000;6:09:00AM;15.75;59;54
248;19;5;2000;6:10:30AM;12.21;52;59
249;19;5;2000;6:12:00AM;7.09;39;52
250;19;5;2000;6:13:30AM;21.26;51;39
251;19;5;2000;6:15:00AM;11.81;50;51
252;19;5;2000;6:16:30AM;14.17;56;50
253;19;5;2000;6:18:00AM;24.41;59;56
254;19;5;2000;6:19:30AM;30.32;49;59
255;19;5;2000;6:21:00AM;11.02;53;49
256;19;5;2000;6:22:30AM;18.11;58;53
257;19;5;2000;6:24:00AM;15.75;67;58
258;19;5;2000;6:25:30AM;15.75;62;67
259;19;5;2000;6:27:00AM;46.07;66;62
260;19;5;2000;6:28:30AM;46.46;77;66
261;19;5;2000;6:30:00AM;44.49;70;77
262;19;5;2000;6:31:30AM;31.1;62;70
263;19;5;2000;6:33:00AM;24.41;65;62
264;19;5;2000;6:34:30AM;19.29;60;65
265;19;5;2000;6:36:00AM;36.62;64;60
266;19;5;2000;6:37:30AM;39.37;58;64
267;19;5;2000;6:39:00AM;16.14;67;58
268;19;5;2000;6:40:30AM;42.92;67;67
269;19;5;2000;6:42:00AM;18.11;62;67
270;19;5;2000;6:43:30AM;25.99;75;62
271;19;5;2000;6:45:00AM;66.15;56;75
272;19;5;2000;6:46:30AM;50.4;63;56
273;19;5;2000;6:48:00AM;46.85;76;63
274;19;5;2000;6:49:30AM;53.55;66;76
275;19;5;2000;6:51:00AM;57.09;67;66
276;19;5;2000;6:52:30AM;72.45;62;67
277;19;5;2000;6:54:00AM;68.12;57;62
278;19;5;2000;6:55:30AM;73.63;55;57
279;19;5;2000;6:57:00AM;83.47;57;55
280;19;5;2000;6:58:30AM;67.33;58;57
281;19;5;2000;7:00:00AM;88.59;65;58
282;19;5;2000;7:01:30AM;85.05;56;65
283;19;5;2000;7:03:00AM;88.59;61;56
284;19;5;2000;7:04:30AM;78.35;60;61
285;19;5;2000;7:06:00AM;84.65;56;60
286;19;5;2000;7:07:30AM;67.72;64;56
287;19;5;2000;7:09:00AM;58.67;71;64
288;19;5;2000;7:10:30AM;75.99;51;71
289;19;5;2000;7:12:00AM;68.12;64;51
290;19;5;2000;7:13:30AM;81.5;59;64
291;19;5;2000;7:15:00AM;81.9;66;59
292;19;5;2000;7:16:30AM;69.69;67;66
293;19;5;2000;7:18:00AM;72.84;84;67
294;19;5;2000;7:19:30AM;88.2;58;84
295;19;5;2000;7:21:00AM;77.57;51;58
296;19;5;2000;7:22:30AM;83.08;69;51
297;19;5;2000;7:24:00AM;63;65;69
298;19;5;2000;7:25:30AM;72.45;77;65
299;19;5;2000;7:27:00AM;80.32;67;77
300;19;5;2000;7:28:30AM;58.27;58;67
301;19;5;2000;7:30:00AM;62.21;57;58
302;19;5;2000;7:31:30AM;67.33;69;57
303;19;5;2000;7:33:00AM;50.4;55;69
304;19;5;2000;7:34:30AM;40.55;68;55
305;19;5;2000;7:36:00AM;29.53;56;68
306;19;5;2000;7:37:30AM;57.88;72;56
307;19;5;2000;7:39:00AM;54.33;68;72
308;19;5;2000;7:40:30AM;55.12;53;68
309;19;5;2000;7:42:00AM;54.33;65;53
310;19;5;2000;7:43:30AM;48.04;61;65
311;19;5;2000;7:45:00AM;33.07;55;61
312;19;5;2000;7:46:30AM;30.32;62;55
313;19;5;2000;7:48:00AM;34.65;65;62
314;19;5;2000;7:49:30AM;31.5;64;65
315;19;5;2000;7:51:00AM;19.69;56;64
316;19;5;2000;7:52:30AM;20.08;64;56
317;19;5;2000;7:54:00AM;51.19;49;64
318;19;5;2000;7:55:30AM;41.34;58;49
319;19;5;2000;7:57:00AM;31.5;67;58
320;19;5;2000;7:58:30AM;38.19;53;67
321;19;5;2000;8:00:00AM;28.35;56;53
322;19;5;2000;8:01:30AM;19.29;57;56
323;19;5;2000;8:03:00AM;44.89;73;57
324;19;5;2000;8:04:30AM;50.79;66;73
325;19;5;2000;8:06:00AM;53.94;53;66
326;19;5;2000;8:07:30AM;53.15;42;53
327;19;5;2000;8:09:00AM;41.34;64;42
328;19;5;2000;8:10:30AM;77.17;62;64
329;19;5;2000;8:12:00AM;61.42;41;62
330;19;5;2000;8:13:30AM;38.59;69;41
331;19;5;2000;8:15:00AM;64.18;70;69
332;19;5;2000;8:16:30AM;80.32;75;70
333;19;5;2000;8:18:00AM;62.21;63;75
334;19;5;2000;8:19:30AM;53.15;61;63
335;19;5;2000;8:21:00AM;58.27;67;61
336;19;5;2000;8:22:30AM;50.4;63;67
337;19;5;2000;8:24:00AM;38.59;66;63
338;19;5;2000;8:25:30AM;54.73;66;66
339;19;5;2000;8:27:00AM;58.27;72;66
340;19;5;2000;8:28:30AM;78.75;55;72
341;19;5;2000;8:30:00AM;77.17;61;55
342;19;5;2000;8:31:30AM;92.53;58;61
343;19;5;2000;8:33:00AM;79.93;55;58
344;19;5;2000;8:34:30AM;81.5;54;55
345;19;5;2000;8:36:00AM;69.3;60;54
346;19;5;2000;8:37:30AM;70.87;62;60
347;19;5;2000;8:39:00AM;77.17;62;62
348;19;5;2000;8:40:30AM;50;57;62
349;19;5;2000;8:42:00AM;60.24;64;57
350;19;5;2000;8:43:30AM;86.62;60;64
351;19;5;2000;8:45:00AM;50;71;60
352;19;5;2000;8:46:30AM;43.31;62;71
353;19;5;2000;8:48:00AM;85.44;41;62
354;19;5;2000;8:49:30AM;87.8;51;41
355;19;5;2000;8:51:00AM;74.81;54;51
356;19;5;2000;8:52:30AM;66.93;61;54
357;19;5;2000;8:54:00AM;75.2;59;61
358;19;5;2000;8:55:30AM;57.09;62;59
359;19;5;2000;8:57:00AM;57.09;57;62
360;19;5;2000;8:58:30AM;90.56;55;57
361;19;5;2000;9:00:00AM;64.18;59;55
362;19;5;2000;9:01:30AM;57.88;50;59
363;19;5;2000;9:03:00AM;48.04;62;50
364;19;5;2000;9:04:30AM;52.76;61;62
365;19;5;2000;9:06:00AM;49.22;50;61
366;19;5;2000;9:07:30AM;32.29;63;50
367;19;5;2000;9:09:00AM;68.51;61;63
368;19;5;2000;9:10:30AM;63;54;61
369;19;5;2000;9:12:00AM;83.08;37;54
370;19;5;2000;9:13:30AM;36.22;65;37
371;19;5;2000;9:15:00AM;40.55;50;65
372;19;5;2000;9:16:30AM;20.87;62;50
373;19;5;2000;9:18:00AM;22.44;58;62
374;19;5;2000;9:19:30AM;19.69;52;58
375;19;5;2000;9:21:00AM;42.92;46;52
376;19;5;2000;9:22:30AM;19.29;49;46
377;19;5;2000;9:24:00AM;17.72;51;49
378;19;5;2000;9:25:30AM;23.03;52;51
379;19;5;2000;9:27:00AM;29.53;54;52
380;19;5;2000;9:28:30AM;19.29;50;54
381;19;5;2000;9:30:00AM;47.64;59;50
382;19;5;2000;9:31:30AM;56.3;59;59
383;19;5;2000;9:33:00AM;65.75;56;59
384;19;5;2000;9:34:30AM;47.25;61;56
385;19;5;2000;9:36:00AM;49.22;67;61
386;19;5;2000;9:37:30AM;59.45;48;67
387;19;5;2000;9:39:00AM;57.48;59;48
388;19;5;2000;9:40:30AM;78.75;54;59
389;19;5;2000;9:42:00AM;63.39;51;54
390;19;5;2000;9:43:30AM;59.06;57;51
391;19;5;2000;9:45:00AM;42.52;65;57
392;19;5;2000;9:46:30AM;94.89;29;65
393;19;5;2000;9:48:00AM;100.01;30;29
394;19;5;2000;9:49:30AM;86.23;33;30
395;19;5;2000;9:51:00AM;88.98;34;33
396;19;5;2000;9:52:30AM;89.38;20;34
397;19;5;2000;9:54:00AM;100.01;26;20
398;19;5;2000;9:55:30AM;67.33;23;26
399;19;5;2000;9:57:00AM;81.9;45;23
400;19;5;2000;9:58:30AM;77.57;37;45
401;19;5;2000;10:00:00AM;100.01;27;37
402;19;5;2000;10:01:30AM;85.83;33;27
403;19;5;2000;10:03:00AM;83.86;35;33
404;19;5;2000;10:04:30AM;92.53;35;35
405;19;5;2000;10:06:00AM;87.01;36;35
406;19;5;2000;10:07:30AM;100.01;29;36
407;19;5;2000;10:09:00AM;83.08;26;29
408;19;5;2000;10:10:30AM;85.44;36;26
409;19;5;2000;10:12:00AM;88.2;39;36
410;19;5;2000;10:13:30AM;89.77;30;39
411;19;5;2000;10:15:00AM;84.26;38;30
412;19;5;2000;10:16:30AM;97.65;36;38
413;19;5;2000;10:18:00AM;82.29;46;36
414;19;5;2000;10:19:30AM;79.53;32;46
415;19;5;2000;10:21:00AM;94.5;39;32
416;19;5;2000;10:22:30AM;89.77;37;39
417;19;5;2000;10:24:00AM;95.28;26;37
418;19;5;2000;10:25:30AM;100.01;18;26
419;19;5;2000;10:27:00AM;99.61;26;18
420;19;5;2000;10:28:30AM;100.01;38;26
421;19;5;2000;10:30:00AM;59.45;84;38
422;19;5;2000;10:31:30AM;71.66;79;84
423;19;5;2000;10:33:00AM;63.78;77;79
424;19;5;2000;10:34:30AM;68.12;60;77
425;19;5;2000;10:36:00AM;62.21;67;60
426;19;5;2000;10:37:30AM;82.29;62;67
427;19;5;2000;10:39:00AM;62.21;66;62
428;19;5;2000;10:40:30AM;55.12;69;66
429;19;5;2000;10:42:00AM;59.85;62;69
430;19;5;2000;10:43:30AM;58.27;94;62
431;19;5;2000;10:45:00AM;64.97;47;94
432;19;5;2000;10:46:30AM;38.98;77;47
433;19;5;2000;10:48:00AM;59.85;60;77
434;19;5;2000;10:49:30AM;42.92;77;60
435;19;5;2000;10:51:00AM;44.49;64;77
436;19;5;2000;10:52:30AM;74.02;67;64
437;19;5;2000;10:54:00AM;92.13;66;67
438;19;5;2000;10:55:30AM;58.67;61;66
439;19;5;2000;10:57:00AM;68.51;93;61
440;19;5;2000;10:58:30AM;80.72;50;93
441;19;5;2000;11:00:00AM;61.03;70;50
442;19;5;2000;11:01:30AM;65.75;79;70
443;19;5;2000;11:03:00AM;61.03;59;79
444;19;5;2000;11:04:30AM;72.45;70;59
445;19;5;2000;11:06:00AM;69.3;49;70
446;19;5;2000;11:07:30AM;70.87;55;49
447;19;5;2000;11:09:00AM;60.24;53;55
448;19;5;2000;11:10:30AM;100.01;45;53
449;19;5;2000;11:12:00AM;71.66;52;45
450;19;5;2000;11:13:30AM;95.68;54;52
451;19;5;2000;11:15:00AM;82.29;59;54
452;19;5;2000;11:16:30AM;60.63;57;59
453;19;5;2000;11:18:00AM;65.36;66;57
454;19;5;2000;11:19:30AM;57.09;75;66
455;19;5;2000;11:21:00AM;39.37;73;75
456;19;5;2000;11:22:30AM;37.4;73;73
457;19;5;2000;11:24:00AM;55.52;66;73
458;19;5;2000;11:25:30AM;62.21;63;66
459;19;5;2000;11:27:00AM;57.88;54;63
460;19;5;2000;11:28:30AM;51.19;67;54
461;19;5;2000;11:30:00AM;48.43;69;67
462;19;5;2000;11:31:30AM;57.48;65;69
463;19;5;2000;11:33:00AM;40.16;62;65
464;19;5;2000;11:34:30AM;27.56;50;62
465;19;5;2000;11:36:00AM;38.19;65;50
466;19;5;2000;11:37:30AM;33.86;50;65
467;19;5;2000;11:39:00AM;73.23;61;50
468;19;5;2000;11:40:30AM;66.15;63;61
469;19;5;2000;11:42:00AM;65.75;55;63
470;19;5;2000;11:43:30AM;47.64;64;55
471;19;5;2000;11:45:00AM;60.63;69;64
472;19;5;2000;11:46:30AM;41.34;73;69
473;19;5;2000;11:48:00AM;41.74;65;73
474;19;5;2000;11:49:30AM;23.62;59;65
475;19;5;2000;11:51:00AM;26.77;58;59
476;19;5;2000;11:52:30AM;35.83;63;58
477;19;5;2000;11:54:00AM;30.71;70;63
478;19;5;2000;11:55:30AM;29.53;67;70
479;19;5;2000;11:57:00AM;29.14;69;67
480;19;5;2000;11:58:30AM;39.77;66;69
481;19;5;2000;12:00:00PM;29.92;69;66
482;19;5;2000;12:01:30PM;38.98;64;69
483;19;5;2000;12:03:00PM;20.08;76;64
484;19;5;2000;12:04:30PM;16.93;66;76
485;19;5;2000;12:06:00PM;14.96;55;66
486;19;5;2000;12:07:30PM;22.44;62;55
487;19;5;2000;12:09:00PM;31.1;73;62
488;19;5;2000;12:10:30PM;24.02;77;73
489;19;5;2000;12:12:00PM;39.77;49;77
490;19;5;2000;12:13:30PM;19.29;50;49
491;19;5;2000;12:15:00PM;18.11;61;50
492;19;5;2000;12:16:30PM;21.26;66;61
493;19;5;2000;12:18:00PM;14.57;57;66
494;19;5;2000;12:19:30PM;19.69;70;57
495;19;5;2000;12:21:00PM;22.84;67;70
496;19;5;2000;12:22:30PM;17.72;60;67
497;19;5;2000;12:24:00PM;13.78;57;60
498;19;5;2000;12:25:30PM;25.99;75;57
499;19;5;2000;12:27:00PM;20.47;69;75
500;19;5;2000;12:28:30PM;22.05;63;69
501;19;5;2000;12:30:00PM;25.59;51;63
502;19;5;2000;12:31:30PM;15.36;54;51
503;19;5;2000;12:33:00PM;31.89;66;54
504;19;5;2000;12:34:30PM;31.5;67;66
505;19;5;2000;12:36:00PM;18.51;66;67
506;19;5;2000;12:37:30PM;19.69;79;66
507;19;5;2000;12:39:00PM;18.9;68;79
508;19;5;2000;12:40:30PM;18.11;57;68
509;19;5;2000;12:42:00PM;16.93;64;57
510;19;5;2000;12:43:30PM;35.83;52;64
511;19;5;2000;12:45:00PM;19.69;68;52
512;19;5;2000;12:46:30PM;20.08;71;68
513;19;5;2000;12:48:00PM;13.78;45;71
514;19;5;2000;12:49:30PM;19.29;70;45
515;19;5;2000;12:51:00PM;30.71;60;70
516;19;5;2000;12:52:30PM;26.77;57;60
517;19;5;2000;12:54:00PM;18.51;62;57
518;19;5;2000;12:55:30PM;16.93;55;62
519;19;5;2000;12:57:00PM;25.99;70;55
520;19;5;2000;12:58:30PM;16.14;57;70
521;19;5;2000;1:00:00PM;18.51;71;57
522;19;5;2000;1:01:30PM;17.72;68;71
523;19;5;2000;1:03:00PM;17.32;64;68
524;19;5;2000;1:04:30PM;35.83;65;64
525;19;5;2000;1:06:00PM;16.14;56;65
526;19;5;2000;1:07:30PM;25.2;71;56
527;19;5;2000;1:09:00PM;30.32;69;71
528;19;5;2000;1:10:30PM;22.05;58;69
529;19;5;2000;1:12:00PM;8.27;35;58
530;19;5;2000;1:13:30PM;12.99;59;35
531;19;5;2000;1:15:00PM;34.25;68;59
532;19;5;2000;1:16:30PM;22.84;78;68
533;19;5;2000;1:18:00PM;19.69;68;78
534;19;5;2000;1:19:30PM;28.35;47;68
535;19;5;2000;1:21:00PM;21.66;71;47
536;19;5;2000;1:22:30PM;17.72;73;71
537;19;5;2000;1:24:00PM;21.66;72;73
538;19;5;2000;1:25:30PM;27.17;75;72
539;19;5;2000;1:27:00PM;24.41;62;75
540;19;5;2000;1:28:30PM;21.26;72;62
541;19;5;2000;1:30:00PM;16.54;64;72
542;19;5;2000;1:31:30PM;18.9;62;64
543;19;5;2000;1:33:00PM;24.02;70;62
544;19;5;2000;1:34:30PM;24.41;56;70
545;19;5;2000;1:36:00PM;22.44;60;56
546;19;5;2000;1:37:30PM;21.66;40;60
547;19;5;2000;1:39:00PM;23.62;58;40
548;19;5;2000;1:40:30PM;18.51;67;58
549;19;5;2000;1:42:00PM;20.47;48;67
550;19;5;2000;1:43:30PM;37.4;30;48
551;19;5;2000;1:45:00PM;11.81;32;30
552;19;5;2000;1:46:30PM;13.78;43;32
553;19;5;2000;1:48:00PM;20.08;46;43
554;19;5;2000;1:49:30PM;24.02;49;46
555;19;5;2000;1:51:00PM;22.44;61;49
556;19;5;2000;1:52:30PM;30.71;51;61
557;19;5;2000;1:54:00PM;19.29;50;51
